run,pop,herb,rate,dose,rep,surv,biomass,bio_red
2,AT8-EDGE,fomesafen,1x,263,2,0,0,1
2,AT8-EDGE,fomesafen,1x,263,3,0,0,1
2,AT8-EDGE,fomesafen,2x,526,1,0,0,1
2,AT8-EDGE,fomesafen,2x,526,2,0,0,1
2,AT8-EDGE,fomesafen,2x,526,3,0,0,1
2,AT2,fomesafen,0.015x,3.945,1,1,1.334,0
2,AT2,fomesafen,0.015x,3.945,2,1,1.041,0.005097165
2,AT2,fomesafen,0.015x,3.945,3,1,1.083,0
2,AT2,fomesafen,0.031x,8.153,1,1,0.895,0.144632048
2,AT2,fomesafen,0.031x,8.153,2,1,1.277,0
2,AT2,fomesafen,0.031x,8.153,3,1,0.934,0.107359032
2,AT2,fomesafen,0.062x,16.306,1,1,0.818,0.218222364
2,AT2,fomesafen,0.062x,16.306,2,1,1.262,0
2,AT2,fomesafen,0.062x,16.306,3,1,0.638,0.390251673
2,AT2,fomesafen,16x,4208,1,0,0,1
2,AT2,fomesafen,16x,4208,2,0,0,1
2,AT2,fomesafen,16x,4208,3,0,0,1
2,AT8-EDGE,fomesafen,0.015x,3.945,1,1,0.482,0.616750596
2,AT8-EDGE,fomesafen,0.015x,3.945,2,1,0.647,0.485555261
2,AT8-EDGE,fomesafen,0.015x,3.945,3,1,1.208,0.039491121
2,AT8-EDGE,fomesafen,0.031x,8.153,1,1,0.488,0.611979857
2,AT8-EDGE,fomesafen,0.031x,8.153,2,1,0.189,0.849721707
2,AT8-EDGE,fomesafen,0.031x,8.153,3,1,0.566,0.549960244
2,AT8-EDGE,fomesafen,0.062x,16.306,1,1,0.416,0.66922873
2,AT8-EDGE,fomesafen,0.062x,16.306,2,0,0,1
2,AT8-EDGE,fomesafen,0.062x,16.306,3,0,0,1
