id,run,pop,herb,rate,temp,rep,surv,biomass
88,1,A101,meso,210.2,elevated,4,1,0.15
89,1,A101,meso,420.4,elevated,1,0,0
90,1,A101,meso,420.4,elevated,2,0,0
91,1,A101,meso,420.4,elevated,3,0,0
92,1,A101,meso,420.4,elevated,4,0,0
93,1,A101,meso,840.8,elevated,1,0,0
94,1,A101,meso,840.8,elevated,2,0,0
95,1,A101,meso,840.8,elevated,3,0,0
96,1,A101,meso,840.8,elevated,4,0,0
97,1,A101,meso+P450,0,elevated,1,1,2.407
98,1,A101,meso+P450,0,elevated,2,1,3.769
99,1,A101,meso+P450,0,elevated,3,1,3.236
100,1,A101,meso+P450,0,elevated,4,1,4.781
101,1,A101,meso+P450,13.1,elevated,1,1,2.358
102,1,A101,meso+P450,13.1,elevated,2,1,2.287
103,1,A101,meso+P450,13.1,elevated,3,1,2.974
104,1,A101,meso+P450,13.1,elevated,4,1,2.612
105,1,A101,meso+P450,26.3,elevated,1,1,0.211
106,1,A101,meso+P450,26.3,elevated,2,1,1.425
107,1,A101,meso+P450,26.3,elevated,3,1,1.19
108,1,A101,meso+P450,26.3,elevated,4,1,1.278
109,1,A101,meso+P450,53,elevated,1,0,0
110,1,A101,meso+P450,53,elevated,2,0,0
111,1,A101,meso+P450,53,elevated,3,1,0.237
112,1,A101,meso+P450,53,elevated,4,1,0.222
113,1,A101,meso+P450,105.1,elevated,1,1,0.426
114,1,A101,meso+P450,105.1,elevated,2,0,0
115,1,A101,meso+P450,105.1,elevated,3,0,0
116,1,A101,meso+P450,105.1,elevated,4,0,0
117,1,A101,meso+P450,210.2,elevated,1,0,0
118,1,A101,meso+P450,210.2,elevated,2,0,0
119,1,A101,meso+P450,210.2,elevated,3,0,0
120,1,A101,meso+P450,210.2,elevated,4,0,0
121,1,A101,meso+P450,420.4,elevated,1,0,0
122,1,A101,meso+P450,420.4,elevated,2,0,0
123,1,A101,meso+P450,420.4,elevated,3,0,0
124,1,A101,meso+P450,420.4,elevated,4,0,0
125,1,A101,meso+P450,840.8,elevated,1,0,0
126,1,A101,meso+P450,840.8,elevated,2,0,0
127,1,A101,meso+P450,840.8,elevated,3,0,0
128,1,A101,meso+P450,840.8,elevated,4,0,0
129,1,A82,meso,0,ambient,1,1,3.419
130,1,A82,meso,0,ambient,2,1,3.667
131,1,A82,meso,0,ambient,3,1,3.822
132,1,A82,meso,0,ambient,4,1,3.14
133,1,A82,meso,13.1,ambient,1,1,0.261
134,1,A82,meso,13.1,ambient,2,1,0.605
135,1,A82,meso,13.1,ambient,3,1,0.541
136,1,A82,meso,13.1,ambient,4,1,1.213
137,1,A82,meso,26.3,ambient,1,0,0
138,1,A82,meso,26.3,ambient,2,0,0
139,1,A82,meso,26.3,ambient,3,0,0
140,1,A82,meso,26.3,ambient,4,0,0
141,1,A82,meso,53,ambient,1,0,0
142,1,A82,meso,53,ambient,2,0,0
143,1,A82,meso,53,ambient,3,0,0
144,1,A82,meso,53,ambient,4,0,0
145,1,A82,meso,105.1,ambient,1,0,0
146,1,A82,meso,105.1,ambient,2,0,0
147,1,A82,meso,105.1,ambient,3,0,0
148,1,A82,meso,105.1,ambient,4,0,0
149,1,A82,meso,210.2,ambient,1,0,0
150,1,A82,meso,210.2,ambient,2,0,0
151,1,A82,meso,210.2,ambient,3,0,0
152,1,A82,meso,210.2,ambient,4,0,0
153,1,A82,meso,420.4,ambient,1,0,0
154,1,A82,meso,420.4,ambient,2,0,0
155,1,A82,meso,420.4,ambient,3,0,0
156,1,A82,meso,420.4,ambient,4,0,0
157,1,A82,meso,840.8,ambient,1,0,0
158,1,A82,meso,840.8,ambient,2,0,0
159,1,A82,meso,840.8,ambient,3,0,0
160,1,A82,meso,840.8,ambient,4,0,0
161,1,A82,meso+P450,0,ambient,1,1,2.69
162,1,A82,meso+P450,0,ambient,2,1,5.516
163,1,A82,meso+P450,0,ambient,3,1,2.574
164,1,A82,meso+P450,0,ambient,4,1,2.697
165,1,A82,meso+P450,13.1,ambient,1,1,0.408
166,1,A82,meso+P450,13.1,ambient,2,0,0
167,1,A82,meso+P450,13.1,ambient,3,0,0
168,1,A82,meso+P450,13.1,ambient,4,1,0.048
169,1,A82,meso+P450,26.3,ambient,1,0,0
170,1,A82,meso+P450,26.3,ambient,2,0,0
171,1,A82,meso+P450,26.3,ambient,3,0,0
172,1,A82,meso+P450,26.3,ambient,4,0,0
173,1,A82,meso+P450,53,ambient,1,0,0
174,1,A82,meso+P450,53,ambient,2,0,0
175,1,A82,meso+P450,53,ambient,3,0,0
176,1,A82,meso+P450,53,ambient,4,0,0
177,1,A82,meso+P450,105.1,ambient,1,0,0
178,1,A82,meso+P450,105.1,ambient,2,0,0
179,1,A82,meso+P450,105.1,ambient,3,0,0
180,1,A82,meso+P450,105.1,ambient,4,0,0
181,1,A82,meso+P450,210.2,ambient,1,0,0
182,1,A82,meso+P450,210.2,ambient,2,0,0
