run,pop,herb,order,Rate,rep,count,biomass,count_red,bio_red
1,BRO,Metribuzin,3,1x,4,0,0,1,1
1,BRO,Metribuzin,3,3x,1,0,0,1,1
1,BRO,Metribuzin,3,3x,2,0,0,1,1
1,BRO,Metribuzin,3,3x,3,0,0,1,1
1,BRO,Metribuzin,3,3x,4,0,0,1,1
1,BRO,Sulfentrazone,5,0.5x,1,1,0.2605,0.966666667,0.839872144
1,BRO,Sulfentrazone,5,0.5x,2,0,0,1,1
1,BRO,Sulfentrazone,5,0.5x,3,0,0,1,1
1,BRO,Sulfentrazone,5,0.5x,4,0,0,1,1
1,BRO,Sulfentrazone,5,1x,1,2,0.1442,0.933333333,0.911361087
1,BRO,Sulfentrazone,5,1x,2,0,0,1,1
1,BRO,Sulfentrazone,5,1x,3,0,0,1,1
1,BRO,Sulfentrazone,5,1x,4,0,0,1,1
1,BRO,Sulfentrazone,5,3x,1,0,0,1,1
1,BRO,Sulfentrazone,5,3x,2,0,0,1,1
1,BRO,Sulfentrazone,5,3x,3,0,0,1,1
1,BRO,Sulfentrazone,5,3x,4,0,0,1,1
1,BRO,S-metolachlor,4,0.5x,1,4,0.4688,0.866666667,0.711831328
1,BRO,S-metolachlor,4,0.5x,2,0,0,1,1
1,BRO,S-metolachlor,4,0.5x,3,1,0.0103,0.966666667,0.993668649
1,BRO,S-metolachlor,4,0.5x,4,1,0.0126,0.966666667,0.992254852
1,BRO,S-metolachlor,4,1x,1,0,0,1,1
1,BRO,S-metolachlor,4,1x,2,0,0,1,1
1,BRO,S-metolachlor,4,1x,3,0,0,1,1
1,BRO,S-metolachlor,4,1x,4,0,0,1,1
1,BRO,S-metolachlor,4,3x,1,0,0,1,1
1,BRO,S-metolachlor,4,3x,2,0,0,1,1
1,BRO,S-metolachlor,4,3x,3,0,0,1,1
1,BRO,S-metolachlor,4,3x,4,0,0,1,1
1,BRO,Mesotrione,2,0.5x,1,18,0.2398,0.4,0.852596315
1,BRO,Mesotrione,2,0.5x,2,9,0.1122,0.7,0.931031303
1,BRO,Mesotrione,2,0.5x,3,9,0.1805,0.7,0.889047685
1,BRO,Mesotrione,2,0.5x,4,2,0.2493,0.933333333,0.846756719
1,BRO,Mesotrione,2,1x,1,0,0,1,1
1,BRO,Mesotrione,2,1x,2,6,0.0549,0.8,0.966253285
1,BRO,Mesotrione,2,1x,3,3,0.0139,0.9,0.99145575
1,BRO,Mesotrione,2,1x,4,0,0,1,1
1,BRO,Mesotrione,2,3x,1,0,0,1,1
1,BRO,Mesotrione,2,3x,2,0,0,1,1
1,BRO,Mesotrione,2,3x,3,0,0,1,1
1,BRO,Mesotrione,2,3x,4,0,0,1,1
2,KEI3,Atrazine,1,0.5x,1,0,0,1,1
2,KEI3,Atrazine,1,0.5x,2,0,0,1,1
2,KEI3,Atrazine,1,0.5x,3,0,0,1,1
2,KEI3,Atrazine,1,0.5x,4,0,0,1,1
2,KEI3,Atrazine,1,1x,1,0,0,1,1
2,KEI3,Atrazine,1,1x,2,0,0,1,1
2,KEI3,Atrazine,1,1x,3,2,0.0258,0.958115183,0.974187094
2,KEI3,Atrazine,1,1x,4,0,0,1,1
2,KEI3,Atrazine,1,3x,1,0,0,1,1
2,KEI3,Atrazine,1,3x,2,0,0,1,1
2,KEI3,Atrazine,1,3x,3,1,0.0036,0.979057592,0.996398199
2,KEI3,Atrazine,1,3x,4,0,0,1,1
2,KEI3,Metribuzin,3,0.5x,1,0,0,1,1
2,KEI3,Metribuzin,3,0.5x,2,1,0.0131,0.979057592,0.986893447
2,KEI3,Metribuzin,3,0.5x,3,0,0,1,1
2,KEI3,Metribuzin,3,0.5x,4,0,0,1,1
2,KEI3,Metribuzin,3,1x,1,0,0,1,1
2,KEI3,Metribuzin,3,1x,2,0,0,1,1
2,KEI3,Metribuzin,3,1x,3,0,0,1,1
