run,pop,herb,order,rate,rep,count,biomass
1,BRO,mesotrione,2,0.5x,4,2,0.2493
1,BRO,mesotrione,2,1x,1,0,0
1,BRO,mesotrione,2,1x,2,6,0.0549
1,BRO,mesotrione,2,1x,3,3,0.0139
1,BRO,mesotrione,2,1x,4,0,0
1,BRO,mesotrione,2,3x,1,0,0
1,BRO,mesotrione,2,3x,2,0,0
1,BRO,mesotrione,2,3x,3,0,0
1,BRO,mesotrione,2,3x,4,0,0
2,KEI3,control,0,0.5x,1,70,1.3157
2,KEI3,control,0,0.5x,2,65,1.2562
2,KEI3,control,0,0.5x,3,56,1.4261
2,KEI3,control,0,0.5x,4,0,0
2,KEI3,atrazine,1,0.5x,1,0,0
2,KEI3,atrazine,1,0.5x,2,0,0
2,KEI3,atrazine,1,0.5x,3,0,0
2,KEI3,atrazine,1,0.5x,4,0,0
2,KEI3,atrazine,1,1x,1,0,0
2,KEI3,atrazine,1,1x,2,0,0
2,KEI3,atrazine,1,1x,3,2,0.0258
2,KEI3,atrazine,1,1x,4,0,0
2,KEI3,atrazine,1,3x,1,0,0
2,KEI3,atrazine,1,3x,2,0,0
2,KEI3,atrazine,1,3x,3,1,0.0036
2,KEI3,atrazine,1,3x,4,0,0
2,KEI3,metribuzin,3,0.5x,1,0,0
2,KEI3,metribuzin,3,0.5x,2,1,0.0131
2,KEI3,metribuzin,3,0.5x,3,0,0
2,KEI3,metribuzin,3,0.5x,4,0,0
2,KEI3,metribuzin,3,1x,1,0,0
2,KEI3,metribuzin,3,1x,2,0,0
2,KEI3,metribuzin,3,1x,3,0,0
2,KEI3,metribuzin,3,1x,4,0,0
2,KEI3,metribuzin,3,3x,1,0,0
2,KEI3,metribuzin,3,3x,2,0,0
2,KEI3,metribuzin,3,3x,3,0,0
2,KEI3,metribuzin,3,3x,4,0,0
2,KEI3,sulfentrazone,5,0.5x,1,0,0
2,KEI3,sulfentrazone,5,0.5x,2,0,0
2,KEI3,sulfentrazone,5,0.5x,3,0,0
2,KEI3,sulfentrazone,5,0.5x,4,0,0
2,KEI3,sulfentrazone,5,1x,1,0,0
2,KEI3,sulfentrazone,5,1x,2,0,0
2,KEI3,sulfentrazone,5,1x,3,0,0
2,KEI3,sulfentrazone,5,1x,4,0,0
2,KEI3,sulfentrazone,5,3x,1,0,0
2,KEI3,sulfentrazone,5,3x,2,0,0
2,KEI3,sulfentrazone,5,3x,3,0,0
2,KEI3,sulfentrazone,5,3x,4,0,0
2,KEI3,s-metolachlor,4,0.5x,1,0,0
2,KEI3,s-metolachlor,4,0.5x,2,0,0
2,KEI3,s-metolachlor,4,0.5x,3,0,0
2,KEI3,s-metolachlor,4,0.5x,4,0,0
2,KEI3,s-metolachlor,4,1x,1,0,0
2,KEI3,s-metolachlor,4,1x,2,0,0
2,KEI3,s-metolachlor,4,1x,3,0,0
2,KEI3,s-metolachlor,4,1x,4,0,0
2,KEI3,s-metolachlor,4,3x,1,0,0
2,KEI3,s-metolachlor,4,3x,2,0,0
2,KEI3,s-metolachlor,4,3x,3,0,0
2,KEI3,s-metolachlor,4,3x,4,0,0
2,KEI3,mesotrione,2,0.5x,1,0,0
2,KEI3,mesotrione,2,0.5x,2,0,0
2,KEI3,mesotrione,2,0.5x,3,4,0.364
2,KEI3,mesotrione,2,0.5x,4,0,0
2,KEI3,mesotrione,2,1x,1,0,0
2,KEI3,mesotrione,2,1x,2,1,0.0052
2,KEI3,mesotrione,2,1x,3,0,0
2,KEI3,mesotrione,2,1x,4,0,0
2,KEI3,mesotrione,2,3x,1,0,0
2,KEI3,mesotrione,2,3x,2,0,0
2,KEI3,mesotrione,2,3x,3,0,0
2,KEI3,mesotrione,2,3x,4,0,0
2,KEI2,control,0,0.5x,1,17,1.764
2,KEI2,control,0,0.5x,2,49,0.9534
2,KEI2,control,0,0.5x,3,10,1.2716
2,KEI2,control,0,0.5x,4,13,2.5416
2,KEI2,atrazine,1,0.5x,1,7,0.5996
2,KEI2,atrazine,1,0.5x,2,55,1.2057
2,KEI2,atrazine,1,0.5x,3,47,1.2033
2,KEI2,atrazine,1,0.5x,4,64,1.0968
2,KEI2,atrazine,1,1x,1,2,0.254
2,KEI2,atrazine,1,1x,2,13,1.7437
2,KEI2,atrazine,1,1x,3,0,0
2,KEI2,atrazine,1,1x,4,41,1.5538
2,KEI2,atrazine,1,3x,1,0,0
2,KEI2,atrazine,1,3x,2,0,0
2,KEI2,atrazine,1,3x,3,1,0.159
2,KEI2,atrazine,1,3x,4,2,0.0988
2,KEI2,metribuzin,3,0.5x,1,0,0
2,KEI2,metribuzin,3,0.5x,2,0,0
2,KEI2,metribuzin,3,0.5x,3,1,0.0188
2,KEI2,metribuzin,3,0.5x,4,0,0
2,KEI2,metribuzin,3,1x,1,0,0
2,KEI2,metribuzin,3,1x,2,0,0
2,KEI2,metribuzin,3,1x,3,0,0
2,KEI2,metribuzin,3,1x,4,0,0
2,KEI2,metribuzin,3,3x,1,0,0
2,KEI2,metribuzin,3,3x,2,0,0
2,KEI2,metribuzin,3,3x,3,0,0
2,KEI2,metribuzin,3,3x,4,0,0
2,KEI2,sulfentrazone,5,0.5x,1,0,0
2,KEI2,sulfentrazone,5,0.5x,2,0,0
2,KEI2,sulfentrazone,5,0.5x,3,0,0
2,KEI2,sulfentrazone,5,0.5x,4,0,0
2,KEI2,sulfentrazone,5,1x,1,0,0
2,KEI2,sulfentrazone,5,1x,2,0,0
2,KEI2,sulfentrazone,5,1x,3,0,0
2,KEI2,sulfentrazone,5,1x,4,0,0
2,KEI2,sulfentrazone,5,3x,1,0,0
2,KEI2,sulfentrazone,5,3x,2,0,0
2,KEI2,sulfentrazone,5,3x,3,0,0
2,KEI2,sulfentrazone,5,3x,4,0,0
2,KEI2,s-metolachlor,4,0.5x,1,0,0
2,KEI2,s-metolachlor,4,0.5x,2,2,0.1084
2,KEI2,s-metolachlor,4,0.5x,3,0,0
2,KEI2,s-metolachlor,4,0.5x,4,0,0
2,KEI2,s-metolachlor,4,1x,1,0,0
2,KEI2,s-metolachlor,4,1x,2,0,0
2,KEI2,s-metolachlor,4,1x,3,0,0
2,KEI2,s-metolachlor,4,1x,4,0,0
2,KEI2,s-metolachlor,4,3x,1,0,0
2,KEI2,s-metolachlor,4,3x,2,0,0
2,KEI2,s-metolachlor,4,3x,3,0,0
2,KEI2,s-metolachlor,4,3x,4,0,0
2,KEI2,mesotrione,2,0.5x,1,0,0
2,KEI2,mesotrione,2,0.5x,2,3,0.107
2,KEI2,mesotrione,2,0.5x,3,37,0.5958
2,KEI2,mesotrione,2,0.5x,4,0,0
2,KEI2,mesotrione,2,1x,1,1,0.001
2,KEI2,mesotrione,2,1x,2,0,0
2,KEI2,mesotrione,2,1x,3,1,0.008
2,KEI2,mesotrione,2,1x,4,0,0
2,KEI2,mesotrione,2,3x,1,0,0
2,KEI2,mesotrione,2,3x,2,0,0
2,KEI2,mesotrione,2,3x,3,0,0
2,KEI2,mesotrione,2,3x,4,0,0
2,BRO,control,0,0.5x,1,74,0.9343
2,BRO,control,0,0.5x,2,60,1.2772
2,BRO,control,0,0.5x,3,65,1.2567
2,BRO,control,0,0.5x,4,3,1.8105
2,BRO,atrazine,1,0.5x,1,65,1.8311
2,BRO,atrazine,1,0.5x,2,0,0
2,BRO,atrazine,1,0.5x,3,47,2.5237
2,BRO,atrazine,1,0.5x,4,45,2.5755
2,BRO,atrazine,1,1x,1,0,0
2,BRO,atrazine,1,1x,2,3,1.5662
2,BRO,atrazine,1,1x,3,1,0.9865
2,BRO,atrazine,1,1x,4,37,1.1836
2,BRO,atrazine,1,3x,1,0,0
2,BRO,atrazine,1,3x,2,4,0.2835
2,BRO,atrazine,1,3x,3,34,1.0335
2,BRO,atrazine,1,3x,4,14,1.1673
2,BRO,metribuzin,3,0.5x,1,0,0
2,BRO,metribuzin,3,0.5x,2,0,0
2,BRO,metribuzin,3,0.5x,3,0,0
2,BRO,metribuzin,3,0.5x,4,0,0
2,BRO,metribuzin,3,1x,1,1,0.0122
2,BRO,metribuzin,3,1x,2,0,0
2,BRO,metribuzin,3,1x,3,0,0
2,BRO,metribuzin,3,1x,4,0,0
2,BRO,metribuzin,3,3x,1,0,0
2,BRO,metribuzin,3,3x,2,0,0
2,BRO,metribuzin,3,3x,3,0,0
2,BRO,metribuzin,3,3x,4,0,0
2,BRO,sulfentrazone,5,0.5x,1,0,0
2,BRO,sulfentrazone,5,0.5x,2,0,0
2,BRO,sulfentrazone,5,0.5x,3,0,0
2,BRO,sulfentrazone,5,0.5x,4,0,0
2,BRO,sulfentrazone,5,1x,1,0,0
2,BRO,sulfentrazone,5,1x,2,0,0
2,BRO,sulfentrazone,5,1x,3,0,0
2,BRO,sulfentrazone,5,1x,4,0,0
2,BRO,sulfentrazone,5,3x,1,0,0
2,BRO,sulfentrazone,5,3x,2,0,0
2,BRO,sulfentrazone,5,3x,3,0,0
2,BRO,sulfentrazone,5,3x,4,0,0
2,BRO,s-metolachlor,4,0.5x,1,1,0.4398
2,BRO,s-metolachlor,4,0.5x,2,5,1.108
2,BRO,s-metolachlor,4,0.5x,3,2,0.7542
2,BRO,s-metolachlor,4,0.5x,4,0,0
2,BRO,s-metolachlor,4,1x,1,0,0
2,BRO,s-metolachlor,4,1x,2,2,0.2898
