run,pop,herb,order,rate,rep,ve,biomass
2,AT2-R,glyphosate,2,3x,1,1,0
2,AT2-R,glyphosate,2,3x,2,1,0
2,AT2-R,glyphosate,2,3x,3,1,0
2,AT2-R,glyphosate,2,3x,4,,
2,AT2-R,glyphosate,2,3x,5,,
2,AT2-R,glyphosate,2,3x,6,,
2,AT2-R,glyphosate,2,3x,7,,
2,AT2-R,glyphosate,2,3x,8,,
2,AT4-R,control,0,1x,1,10,1.8728
2,AT4-R,control,0,1x,2,10,2.2148
2,AT4-R,control,0,1x,3,10,1.8955
2,AT4-R,control,0,1x,4,10,1.928
2,AT4-R,glyphosate,2,1x,1,1,0
2,AT4-R,glyphosate,2,1x,2,5,0.3753
2,AT4-R,glyphosate,2,1x,3,7,0.345
2,AT4-R,glyphosate,2,1x,4,2,0.1309
2,AT4-R,glyphosate,2,1x,5,1,0
2,AT4-R,glyphosate,2,1x,6,1,0
2,AT4-R,glyphosate,2,1x,7,1,0
2,AT4-R,glyphosate,2,1x,8,4,0.3412
2,AT4-R,glyphosate,2,3x,1,2,0.2131
2,AT4-R,glyphosate,2,3x,2,1,0
2,AT4-R,glyphosate,2,3x,3,1,0
2,AT4-R,glyphosate,2,3x,4,1,0
2,AT4-R,glyphosate,2,3x,5,1,0
2,AT4-R,glyphosate,2,3x,6,1,0
2,AT4-R,glyphosate,2,3x,7,1,0
2,AT4-R,glyphosate,2,3x,8,1,0
2,AT5-R,control,0,1x,1,10,1.135
2,AT5-R,control,0,1x,2,10,1.8728
2,AT5-R,control,0,1x,3,10,2.1166
2,AT5-R,control,0,1x,4,10,1.6737
2,AT5-R,glyphosate,2,1x,1,1,0
2,AT5-R,glyphosate,2,1x,2,7,0.4766
2,AT5-R,glyphosate,2,1x,3,1,0
2,AT5-R,glyphosate,2,1x,4,6,0.488
2,AT5-R,glyphosate,2,1x,5,1,0
2,AT5-R,glyphosate,2,1x,6,5,0.223
2,AT5-R,glyphosate,2,1x,7,7,0.2717
2,AT5-R,glyphosate,2,1x,8,1,0
2,AT5-R,glyphosate,2,3x,1,1,0
2,AT5-R,glyphosate,2,3x,2,1,0
2,AT5-R,glyphosate,2,3x,3,1,0
2,AT5-R,glyphosate,2,3x,4,1,0
2,AT5-R,glyphosate,2,3x,5,1,0
2,AT5-R,glyphosate,2,3x,6,1,0
2,AT5-R,glyphosate,2,3x,7,1,0
2,AT5-R,glyphosate,2,3x,8,1,0
2,AT6-R,control,0,1x,1,10,0.808
2,AT6-R,control,0,1x,2,10,0.8904
2,AT6-R,control,0,1x,3,10,1.5159
2,AT6-R,control,0,1x,4,,
2,AT6-R,glyphosate,2,1x,1,1,0
2,AT6-R,glyphosate,2,1x,2,2,0.0742
2,AT6-R,glyphosate,2,1x,3,1,0
2,AT6-R,glyphosate,2,1x,4,,
2,AT6-R,glyphosate,2,1x,5,,
2,AT6-R,glyphosate,2,1x,6,,
2,AT6-R,glyphosate,2,1x,7,,
2,AT6-R,glyphosate,2,1x,8,,
2,AT6-R,glyphosate,2,3x,1,1,0
2,AT6-R,glyphosate,2,3x,2,2,0.129
2,AT6-R,glyphosate,2,3x,3,1,0
2,AT6-R,glyphosate,2,3x,4,,
2,AT6-R,glyphosate,2,3x,5,,
2,AT6-R,glyphosate,2,3x,6,,
2,AT6-R,glyphosate,2,3x,7,,
2,AT6-R,glyphosate,2,3x,8,,
2,AT8-R,control,0,1x,1,10,1.071
2,AT8-R,control,0,1x,2,10,0.4473
2,AT8-R,control,0,1x,3,10,0.3844
2,AT8-R,control,0,1x,4,,
2,AT8-R,glyphosate,2,1x,1,1,0
2,AT8-R,glyphosate,2,1x,2,7,0.1777
2,AT8-R,glyphosate,2,1x,3,9,1.0532
2,AT8-R,glyphosate,2,1x,4,,
2,AT8-R,glyphosate,2,1x,5,,
2,AT8-R,glyphosate,2,1x,6,,
2,AT8-R,glyphosate,2,1x,7,,
2,AT8-R,glyphosate,2,1x,8,,
2,AT8-R,glyphosate,2,3x,1,,
2,AT8-R,glyphosate,2,3x,2,,
2,AT8-R,glyphosate,2,3x,3,,
2,AT8-R,glyphosate,2,3x,4,,
2,AT8-R,glyphosate,2,3x,5,,
2,AT8-R,glyphosate,2,3x,6,,
2,AT8-R,glyphosate,2,3x,7,,
