id,run,pop,herb,dose,rate,rep,count,biomass,percentcount,percentbio,countred,biored
219,2,A66,flumi,0.062x,7,3,0,0,0.00,0.00,1.00,1.00
221,2,A66,flumi,0.125x,13,1,0,0,0.00,0.00,1.00,1.00
222,2,A66,flumi,0.125x,13,2,0,0,0.00,0.00,1.00,1.00
223,2,A66,flumi,0.125x,13,3,0,0,0.00,0.00,1.00,1.00
225,2,A66,flumi,0.25x,27,1,0,0,0.00,0.00,1.00,1.00
226,2,A66,flumi,0.25x,27,2,0,0,0.00,0.00,1.00,1.00
227,2,A66,flumi,0.25x,27,3,0,0,0.00,0.00,1.00,1.00
229,2,A66,flumi,0.5x,53,1,0,0,0.00,0.00,1.00,1.00
230,2,A66,flumi,0.5x,53,2,0,0,0.00,0.00,1.00,1.00
231,2,A66,flumi,0.5x,53,3,0,0,0.00,0.00,1.00,1.00
233,2,A66,flumi,1x,106,1,0,0,0.00,0.00,1.00,1.00
234,2,A66,flumi,1x,106,2,0,0,0.00,0.00,1.00,1.00
235,2,A66,flumi,1x,106,3,0,0,0.00,0.00,1.00,1.00
