id,run,pop,herb,dose,rate,rep,count,biomass,percentcount,percentbio,countred,biored
127,2,A66,flumi,0x,0,3,25,1.686,100,100,0,0
209,2,A66,flumi,0.015x,2,1,3,0.118,15.79,8.72,84.21,91.28
210,2,A66,flumi,0.015x,2,2,3,0.042,15.79,3.1,84.21,96.9
211,2,A66,flumi,0.015x,2,3,4,0.156,21.05,11.53,78.95,88.47
212,2,A66,flumi,0.015x,2,4,3,0.021,15.79,1.55,84.21,98.45
213,2,A66,flumi,0.031x,3,1,1,0.023,5.26,1.7,94.74,98.3
214,2,A66,flumi,0.031x,3,2,1,0.01,5.26,0.74,94.74,99.26
215,2,A66,flumi,0.031x,3,3,4,0.013,21.05,0.96,78.95,99.04
216,2,A66,flumi,0.031x,3,4,0,0,0,0,100,100
217,2,A66,flumi,0.062x,7,1,0,0,0,0,100,100
218,2,A66,flumi,0.062x,7,2,0,0,0,0,100,100
219,2,A66,flumi,0.062x,7,3,0,0,0,0,100,100
221,2,A66,flumi,0.125x,13,1,0,0,0,0,100,100
222,2,A66,flumi,0.125x,13,2,0,0,0,0,100,100
223,2,A66,flumi,0.125x,13,3,0,0,0,0,100,100
225,2,A66,flumi,0.25x,27,1,0,0,0,0,100,100
226,2,A66,flumi,0.25x,27,2,0,0,0,0,100,100
227,2,A66,flumi,0.25x,27,3,0,0,0,0,100,100
229,2,A66,flumi,0.5x,53,1,0,0,0,0,100,100
230,2,A66,flumi,0.5x,53,2,0,0,0,0,100,100
231,2,A66,flumi,0.5x,53,3,0,0,0,0,100,100
233,2,A66,flumi,1x,106,1,0,0,0,0,100,100
234,2,A66,flumi,1x,106,2,0,0,0,0,100,100
235,2,A66,flumi,1x,106,3,0,0,0,0,100,100
