pop,county,corn_or_soy,tillage,PRE_herb,PRE_two,PRE_five,PRE_nine,POST_herb,POST_two,POST_five,POST_nine,group_2,group_5,group_9,ima_tested,ima_resist,gly_tested,gly_resist,atraz_tested,atraz_resist
A48,Rock,,,,,,,,,,,,,,yes,yes,yes,yes,yes,no
A49,Green,,,,,,,,,,,,,,yes,yes,yes,yes,yes,no
A5,,,,,,,,,,,,,,,no,,yes,yes,no,
A50,Green,,,,,,,,,,,,,,yes,yes,yes,yes,yes,no
A51,Dane,yes,yes,,,,,,,,,,,,yes,yes,yes,yes,yes,no
A52,Green,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,no
A53,Rock,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no
A54,Rock,,,,,,,,,,,,,,yes,yes,yes,yes,yes,no
A55,Rock,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no
A56,Rock,yes,no,yes,yes,no,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no
A57,Rock,,,,,,,,,,,,,,yes,yes,yes,yes,yes,no
A58,Rock,,,,,,,,,,,,,,yes,yes,yes,yes,yes,no
A59,Green,yes,yes,,,,,,,,,,,,yes,yes,yes,yes,no,
A6,,,,,,,,,,,,,,,no,,yes,yes,no,
A60,Rock,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no
A61,Green,,,,,,,,,,,,,,yes,yes,yes,yes,yes,no
A62,Rock,yes,no,yes,yes,no,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no
A63,Green,,,,,,,,,,,,,,yes,yes,yes,yes,yes,no
A64,Rock,,,,,,,,,,,,,,yes,yes,yes,yes,yes,no
A65,Grant,yes,yes,yes,yes,yes,no,no,-,-,-,yes,yes,no,yes,yes,yes,yes,yes,no
A66,Grant,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes
A67,Found du Lac,yes,no,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no
A68,Calumet,yes,yes,no,-,-,-,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no
A69,Found du Lac,,,,,,,,,,,,,,yes,yes,yes,yes,yes,no
A7,,,,,,,,,,,,,,,yes,yes,yes,yes,no,
A70,Monroe,yes,no,no,-,-,-,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
A72,Waupaca,,,,,,,,,,,,,,yes,yes,yes,yes,no,
A73,Grant,,,,,,,,,,,,,,yes,yes,yes,no,yes,yes
A74,Lafayette,,,,,,,,,,,,,,yes,yes,yes,yes,yes,no
A75,Found du Lac,yes,no,yes,no,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no
A76,Found du Lac,yes,no,yes,no,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no
A77,Found du Lac,yes,yes,yes,no,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no
A78,,yes,yes,yes,no,no,yes,,,,,,,yes,yes,yes,yes,yes,yes,no
A79,,yes,yes,yes,no,no,no,,,,,,,,yes,yes,yes,yes,yes,no
A8,Brown,yes,yes,,,,,yes,yes,no,yes,yes,,yes,yes,yes,yes,yes,yes,no
A80,,yes,yes,yes,yes,no,yes,,,,,yes,,yes,yes,yes,yes,yes,yes,no
A81,,yes,yes,yes,yes,yes,no,,,,,yes,yes,,yes,yes,yes,yes,yes,no
A82,Chippewa,yes,yes,no,-,-,-,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no
A83,Winnebago,yes,no,no,-,-,-,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no
A84,Pierce,yes,no,no,-,-,-,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no
A85,St. Croix,yes,yes,no,-,-,-,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes
A86,Pierce,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,no,
A87,Sheboygan,yes,,,,,,yes,yes,no,yes,yes,,yes,yes,no,yes,yes,yes,no
A88,,yes,,no,-,-,-,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no
A89,Sheboygan,yes,yes,no,-,-,-,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no
A9,La Crosse,yes,no,,,,,yes,no,no,yes,,,yes,yes,yes,yes,yes,yes,yes
A90,Pensaukee,,,,,,,,,,,,,,yes,yes,yes,yes,yes,no
A91,Chippewa,yes,yes,yes,no,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,no,,yes,no
