run,pop,herb,rate,rep,count,biomass
2,A66,fome,263,4,0,0
2,A66,fome,526,1,0,0
2,A66,fome,526,2,0,0
2,A66,fome,526,3,0,0
2,A66,fome,526,4,0,0
2,A66,fome,1052,1,0,0
2,A66,fome,1052,2,0,0
2,A66,fome,1052,3,0,0
2,A66,fome,1052,4,0,0
2,A66,fome,2104,1,0,0
2,A66,fome,2104,2,0,0
2,A66,fome,2104,3,0,0
2,A66,fome,2104,4,0,0
