exp,id,run,pop,herb,rate,temp,rep,surv,biomass
GC,107,1,A101,"2,4D",533,elevated,3,1,0.814
GC,108,1,A101,"2,4D",533,elevated,4,1,0.683
GC,109,1,A101,"2,4D",1065,elevated,1,1,0.616
GC,110,1,A101,"2,4D",1065,elevated,2,1,0.955
GC,111,1,A101,"2,4D",1065,elevated,3,1,0.242
GC,112,1,A101,"2,4D",1065,elevated,4,0,0
GC,113,1,A101,"2,4D",2130,elevated,1,,
GC,114,1,A101,"2,4D",2130,elevated,2,,
GC,115,1,A101,"2,4D",2130,elevated,3,,
GC,116,1,A101,"2,4D",2130,elevated,4,,
GC,117,1,A101,"2,4D",4260,elevated,1,0,0
GC,118,1,A101,"2,4D",4260,elevated,2,1,0.191
GC,119,1,A101,"2,4D",4260,elevated,3,0,0
GC,120,1,A101,"2,4D",4260,elevated,4,0,0
GC,121,1,A101,"2,4D+P450",0,elevated,1,1,2.816
GC,122,1,A101,"2,4D+P450",0,elevated,2,1,2.408
GC,123,1,A101,"2,4D+P450",0,elevated,3,1,2.418
GC,124,1,A101,"2,4D+P450",0,elevated,4,1,1.005
GC,125,1,A101,"2,4D+P450",17,elevated,1,1,2.246
GC,126,1,A101,"2,4D+P450",17,elevated,2,1,3.521
GC,127,1,A101,"2,4D+P450",17,elevated,3,1,1.352
GC,128,1,A101,"2,4D+P450",17,elevated,4,1,0.763
GC,129,1,A101,"2,4D+P450",33,elevated,1,1,1.897
GC,130,1,A101,"2,4D+P450",33,elevated,2,1,0.902
GC,131,1,A101,"2,4D+P450",33,elevated,3,1,2.549
GC,132,1,A101,"2,4D+P450",33,elevated,4,1,0.82
GC,133,1,A101,"2,4D+P450",67,elevated,1,0,0
GC,134,1,A101,"2,4D+P450",67,elevated,2,1,1.912
GC,135,1,A101,"2,4D+P450",67,elevated,3,1,2.179
GC,136,1,A101,"2,4D+P450",67,elevated,4,1,1.677
GC,137,1,A101,"2,4D+P450",133,elevated,1,1,1.141
GC,138,1,A101,"2,4D+P450",133,elevated,2,1,0.439
GC,139,1,A101,"2,4D+P450",133,elevated,3,1,2.332
GC,140,1,A101,"2,4D+P450",133,elevated,4,1,1.687
GC,141,1,A101,"2,4D+P450",266,elevated,1,0,0
GC,142,1,A101,"2,4D+P450",266,elevated,2,1,1.893
GC,143,1,A101,"2,4D+P450",266,elevated,3,1,0.495
GC,144,1,A101,"2,4D+P450",266,elevated,4,1,0.559
GC,145,1,A101,"2,4D+P450",533,elevated,1,0,0
GC,146,1,A101,"2,4D+P450",533,elevated,2,1,0.659
GC,147,1,A101,"2,4D+P450",533,elevated,3,1,0.742
GC,148,1,A101,"2,4D+P450",533,elevated,4,1,0.308
GC,149,1,A101,"2,4D+P450",1065,elevated,1,0,0
GC,150,1,A101,"2,4D+P450",1065,elevated,2,1,0.314
GC,151,1,A101,"2,4D+P450",1065,elevated,3,1,0.357
GC,152,1,A101,"2,4D+P450",1065,elevated,4,0,0
GC,153,1,A101,"2,4D+P450",2130,elevated,1,,
GC,154,1,A101,"2,4D+P450",2130,elevated,2,1,0.157
GC,155,1,A101,"2,4D+P450",2130,elevated,3,1,0.273
GC,156,1,A101,"2,4D+P450",2130,elevated,4,0,0
GC,157,1,A101,"2,4D+P450",4260,elevated,1,1,0.077
GC,158,1,A101,"2,4D+P450",4260,elevated,2,0,0
GC,159,1,A101,"2,4D+P450",4260,elevated,3,0,0
GC,160,1,A101,"2,4D+P450",4260,elevated,4,1,0.185
GC,161,1,A101,"2,4D+GST",0,elevated,1,1,3.261
GC,162,1,A101,"2,4D+GST",0,elevated,2,1,0.811
GC,163,1,A101,"2,4D+GST",0,elevated,3,1,2.599
GC,164,1,A101,"2,4D+GST",0,elevated,4,1,1.819
GC,165,1,A101,"2,4D+GST",17,elevated,1,1,3.086
GC,166,1,A101,"2,4D+GST",17,elevated,2,1,1.855
GC,167,1,A101,"2,4D+GST",17,elevated,3,1,1.095
GC,168,1,A101,"2,4D+GST",17,elevated,4,1,1.396
GC,169,1,A101,"2,4D+GST",33,elevated,1,1,1.892
GC,170,1,A101,"2,4D+GST",33,elevated,2,1,1.857
GC,171,1,A101,"2,4D+GST",33,elevated,3,1,2.242
GC,172,1,A101,"2,4D+GST",33,elevated,4,1,2.389
GC,173,1,A101,"2,4D+GST",67,elevated,1,1,2.671
GC,174,1,A101,"2,4D+GST",67,elevated,2,1,1.782
GC,175,1,A101,"2,4D+GST",67,elevated,3,1,1.631
GC,176,1,A101,"2,4D+GST",67,elevated,4,1,1.899
GC,177,1,A101,"2,4D+GST",133,elevated,1,1,1.948
GC,178,1,A101,"2,4D+GST",133,elevated,2,1,0.887
GC,179,1,A101,"2,4D+GST",133,elevated,3,1,2.401
