id,run,pop,herb,dose,rate,rep,surv,biomass,percentbio,biored
104,2,A82,fome,0.031x,8,4,1,2.594,0.99,0.01
105,2,A82,fome,0.062x,16,1,1,1.321,0.51,0.49
106,2,A82,fome,0.062x,16,2,0,0,0.00,1.00
107,2,A82,fome,0.062x,16,3,1,0.941,0.36,0.64
108,2,A82,fome,0.062x,16,4,0,0,0.00,1.00
109,2,A82,fome,0.125x,33,1,0,0,0.00,1.00
110,2,A82,fome,0.125x,33,2,0,0,0.00,1.00
111,2,A82,fome,0.125x,33,3,1,0.454,0.17,0.83
112,2,A82,fome,0.125x,33,4,0,0,0.00,1.00
113,2,A82,fome,0.25x,66,1,0,0,0.00,1.00
114,2,A82,fome,0.25x,66,2,1,0.194,0.07,0.93
115,2,A82,fome,0.25x,66,3,1,0.869,0.33,0.67
116,2,A82,fome,0.25x,66,4,0,0,0.00,1.00
117,2,A82,fome,0.5x,132,1,0,0,0.00,1.00
118,2,A82,fome,0.5x,132,2,0,0,0.00,1.00
119,2,A82,fome,0.5x,132,3,0,0,0.00,1.00
120,2,A82,fome,0.5x,132,4,0,0,0.00,1.00
121,2,A82,fome,1x,263,1,0,0,0.00,1.00
122,2,A82,fome,1x,263,2,0,0,0.00,1.00
123,2,A82,fome,1x,263,3,0,0,0.00,1.00
124,2,A82,fome,1x,263,4,0,0,0.00,1.00
125,2,A82,fome,2x,526,1,0,0,0.00,1.00
126,2,A82,fome,2x,526,2,0,0,0.00,1.00
127,2,A82,fome,2x,526,3,0,0,0.00,1.00
128,2,A82,fome,2x,526,4,0,0,0.00,1.00
129,2,A82,fome,4x,1052,1,0,0,0.00,1.00
130,2,A82,fome,4x,1052,2,0,0,0.00,1.00
131,2,A82,fome,4x,1052,3,0,0,0.00,1.00
132,2,A82,fome,4x,1052,4,0,0,0.00,1.00
133,2,A82,fome,8x,2104,1,0,0,0.00,1.00
134,2,A82,fome,8x,2104,2,0,0,0.00,1.00
135,2,A82,fome,8x,2104,3,0,0,0.00,1.00
136,2,A82,fome,8x,2104,4,0,0,0.00,1.00
137,2,A82,fome,16x,4208,1,0,0,0.00,1.00
138,2,A82,fome,16x,4208,2,0,0,0.00,1.00
139,2,A82,fome,16x,4208,3,0,0,0.00,1.00
140,2,A82,fome,16x,4208,4,0,0,0.00,1.00
