run,pop,Herbicide,Rate,rep,count,biomass,count_red,bio_red
1,A27,Atrazine,1x,1,0,0,0.99,1
1,A27,Atrazine,1x,2,2,0.007,0.90,0.995678345
1,A27,Atrazine,1x,3,2,0.007,0.90,0.995678345
1,A27,Atrazine,1x,4,1,0.009,0.95,0.994443587
1,A27,Metribuzin,1x,1,1,0.002,0.95,0.998765242
1,A27,Metribuzin,1x,2,0,0,0.99,1
1,A27,Metribuzin,1x,3,0,0,0.99,1
1,A27,Metribuzin,1x,4,0,0,0.99,1
1,A27,Atrazine,3x,1,0,0,0.99,1
1,A27,Atrazine,3x,2,0,0,0.99,1
1,A27,Atrazine,3x,3,0,0,0.99,1
1,A27,Atrazine,3x,4,1,0.009,0.95,0.994443587
1,A27,Metribuzin,3x,1,0,0,0.99,1
1,A27,Metribuzin,3x,2,0,0,0.99,1
1,A27,Metribuzin,3x,3,0,0,0.99,1
1,A27,Metribuzin,3x,4,0,0,0.99,1
1,A31,Atrazine,0.5x,1,3,0.017,0.67,0.963739135
1,A31,Atrazine,0.5x,2,4,0.07,0.56,0.850690556
1,A31,Atrazine,0.5x,3,4,0.012,0.56,0.974404095
1,A31,Atrazine,0.5x,4,7,0.73,0.22,1.00E-10
1,A31,Metribuzin,0.5x,1,0,0,0.99,1
1,A31,Metribuzin,0.5x,2,0,0,0.99,1
1,A31,Metribuzin,0.5x,3,0,0,0.99,1
1,A31,Metribuzin,0.5x,4,0,0,0.99,1
1,A31,Atrazine,1x,1,2,0.003,0.78,0.993601024
1,A31,Atrazine,1x,2,3,0.094,0.67,0.799498747
1,A31,Atrazine,1x,3,3,0.006,0.67,0.987202048
1,A31,Atrazine,1x,4,0,0,0.99,1
1,A31,Metribuzin,1x,1,0,0,0.99,1
1,A31,Metribuzin,1x,2,0,0,0.99,1
1,A31,Metribuzin,1x,3,0,0,0.99,1
1,A31,Metribuzin,1x,4,0,0,0.99,1
1,A31,Atrazine,3x,1,0,0,0.99,1
1,A31,Atrazine,3x,2,1,,0.89,1
1,A31,Atrazine,3x,3,0,0,0.99,1
1,A31,Atrazine,3x,4,1,,0.89,1
1,A31,Metribuzin,3x,1,0,0,0.99,1
1,A31,Metribuzin,3x,2,0,0,0.99,1
1,A31,Metribuzin,3x,3,0,0,0.99,1
1,A31,Metribuzin,3x,4,0,0,0.99,1
1,A34,Atrazine,0.5x,1,1,0.011,0.96,0.991492653
1,A34,Atrazine,0.5x,2,6,0.382,0.77,0.704563032
1,A34,Atrazine,0.5x,3,3,0.063,0.89,0.951276102
1,A34,Atrazine,0.5x,4,6,0.234,0.77,0.819025522
1,A34,Metribuzin,0.5x,1,0,0,0.99,1
1,A34,Metribuzin,0.5x,2,0,0,0.99,1
1,A34,Metribuzin,0.5x,3,0,0,0.99,1
1,A34,Metribuzin,0.5x,4,0,0,0.99,1
1,A34,Atrazine,1x,1,14,0.451,0.47,0.651198763
1,A34,Atrazine,1x,2,4,0.033,0.85,0.974477958
1,A34,Atrazine,1x,3,0,0,0.99,1
1,A34,Atrazine,1x,4,0,0,0.99,1
1,A34,Metribuzin,1x,1,0,0,0.99,1
1,A34,Metribuzin,1x,2,0,0,0.99,1
1,A34,Metribuzin,1x,3,0,0,0.99,1
1,A34,Metribuzin,1x,4,0,0,0.99,1
1,A34,Atrazine,3x,1,1,0.001,0.96,0.999226605
1,A34,Atrazine,3x,2,0,0,0.99,1
1,A34,Atrazine,3x,3,1,0.003,0.96,0.997679814
