run,pop,herb,rate,rep,count,biomass,count_red,bio_red
1,A37,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
1,A37,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A37,metribuzin,0.5x,3,4,0.251,0.8315789470,0.7186098660
1,A37,metribuzin,0.5x,4,2,0.008,0.9157894740,0.9910313900
1,A39,atrazine,0.5x,1,11,0.8,0.6562500000,0.0000000001
1,A39,atrazine,0.5x,2,6,0.288,0.8125000000,0.4847942760
1,A39,atrazine,0.5x,3,7,0.388,0.7812500000,0.3059033990
1,A39,atrazine,0.5x,4,13,0.481,0.5937500000,0.1395348840
1,A39,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
1,A39,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A39,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A39,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
1,A41,atrazine,0.5x,1,21,0.873,0.0561797750,0.0000000001
1,A41,atrazine,0.5x,2,14,0.704,0.3707865170,0.1792480330
1,A41,atrazine,0.5x,3,10,0.338,0.5505617980,0.6059457880
1,A41,atrazine,0.5x,4,2,0.029,0.9101123600,0.9661906150
1,A41,metribuzin,0.5x,1,1,0.057,0.9550561800,0.9335470710
1,A41,metribuzin,0.5x,2,7,0.145,0.6853932580,0.8309530750
1,A41,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A41,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
1,A44,atrazine,0.5x,1,3,0.189,0.8947368420,0.7115604730
1,A44,atrazine,0.5x,2,4,0.192,0.8596491230,0.7069820680
1,A44,atrazine,0.5x,3,0,0,0.9999999999,0.9999999999
1,A44,atrazine,0.5x,4,0,0,0.9999999999,0.9999999999
1,A44,metribuzin,0.5x,1,1,0.0001,0.9649122810,0.9998473870
1,A44,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A44,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A44,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
1,A45,atrazine,0.5x,1,4,0.264,0.5555555560,0.0000000001
1,A45,atrazine,0.5x,2,8,0.238,0.1111111110,0.0000000001
1,A45,atrazine,0.5x,3,6,0.171,0.3333333330,0.2173913040
1,A45,atrazine,0.5x,4,14,0.112,0.0000000001,0.4874141880
1,A45,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
1,A45,metribuzin,0.5x,2,3,0.045,0.6666666670,0.7940503430
1,A45,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A45,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
1,A47,atrazine,0.5x,1,0,0,0.9999999999,0.9999999999
1,A47,atrazine,0.5x,2,1,0.033,0.9480519480,0.9764538000
1,A47,atrazine,0.5x,3,1,0.192,0.9480519480,0.8630039240
1,A47,atrazine,0.5x,4,0,0,0.9999999999,0.9999999999
1,A47,metribuzin,0.5x,1,2,0.055,0.8961038960,0.9607563330
1,A47,metribuzin,0.5x,2,2,0.002,0.8961038960,0.9985729580
1,A47,metribuzin,0.5x,3,2,0.011,0.8961038960,0.9921512670
1,A47,metribuzin,0.5x,4,2,0.28,0.8961038960,0.8002140560
1,A57,atrazine,0.5x,1,1,0.014,0.9545454550,0.9706345050
1,A57,atrazine,0.5x,2,2,0.035,0.9090909090,0.9265862610
1,A57,atrazine,0.5x,3,0,0,0.9999999999,0.9999999999
1,A57,atrazine,0.5x,4,0,0,0.9999999999,0.9999999999
1,A57,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
1,A57,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A57,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A57,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
1,A65,atrazine,0.5x,1,4,0.48,0.6363636360,0.0000000001
1,A65,atrazine,0.5x,2,2,0.096,0.8181818180,0.7575757580
1,A65,atrazine,0.5x,3,7,0.533,0.3636363640,0.0000000001
1,A65,atrazine,0.5x,4,0,0,0.9999999999,0.9999999999
1,A65,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
1,A65,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A65,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A65,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
1,A66,atrazine,0.5x,1,7,0.114,0.7862595420,0.9266881030
1,A66,atrazine,0.5x,2,6,0.056,0.8167938930,0.9639871380
1,A66,atrazine,0.5x,3,6,0.03,0.8167938930,0.9807073960
1,A66,atrazine,0.5x,4,3,0.002,0.9083969470,0.9987138260
1,A66,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
1,A66,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A66,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A66,metribuzin,0.5x,4,1,0.003,0.9694656490,0.9980707400
1,A67,atrazine,0.5x,1,8,0.18,0.7398373980,0.8869169150
1,A67,atrazine,0.5x,2,1,0.008,0.9674796750,0.9949740850
1,A67,atrazine,0.5x,3,3,0.022,0.9024390240,0.9861787340
1,A67,atrazine,0.5x,4,7,0.22,0.7723577240,0.8617873410
1,A67,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
1,A67,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A67,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A67,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
