run,pop,herb,rate,rep,count,biomass,count_red,bio_red
1,A75,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A75,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A75,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A75,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A76,atrazine,1x,1,4,0.061,0.8518518520,0.9492512480
1,A76,atrazine,1x,2,4,0.444,0.8518518520,0.6306156410
1,A76,atrazine,1x,3,6,0.044,0.7777777780,0.9633943430
1,A76,atrazine,1x,4,8,0.366,0.7037037040,0.6955074880
1,A76,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A76,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A76,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A76,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A82,atrazine,1x,1,0,0,0.9999999999,0.9999999999
1,A82,atrazine,1x,2,0,0,0.9999999999,0.9999999999
1,A82,atrazine,1x,3,0,0,0.9999999999,0.9999999999
1,A82,atrazine,1x,4,3,0.244,0.8823529410,0.5241345690
1,A82,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A82,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A82,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A82,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A87,atrazine,1x,1,2,0.007,0.9470198680,0.9965631520
1,A87,atrazine,1x,2,2,0.005,0.9470198680,0.9975451090
1,A87,atrazine,1x,3,0,0,0.9999999999,0.9999999999
1,A87,atrazine,1x,4,1,0.126,0.9735099340,0.9381367370
1,A87,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A87,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A87,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A87,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A90,atrazine,1x,1,3,0.723,0.9411764710,0.6324818910
1,A90,atrazine,1x,2,2,0.275,0.9607843140,0.8602109540
1,A90,atrazine,1x,3,3,0.078,0.9411764710,0.9603507430
1,A90,atrazine,1x,4,0,0,0.9999999999,0.9999999999
1,A90,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A90,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A90,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A90,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A91,atrazine,1x,1,8,0.254,0.6631578950,0.8234885340
1,A91,atrazine,1x,2,2,0.529,0.9157894740,0.6323836000
1,A91,atrazine,1x,3,0,0,0.9999999999,0.9999999999
1,A91,atrazine,1x,4,0,0,0.9999999999,0.9999999999
1,A91,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A91,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A91,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A91,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A8,atrazine,1x,1,4,0.105,0.7714285710,0.9050418270
2,A8,atrazine,1x,2,2,0.022,0.8857142860,0.9801040020
2,A8,atrazine,1x,3,4,0.296,0.7714285710,0.7323083880
2,A8,atrazine,1x,4,2,0.145,0.8857142860,0.8688672850
2,A8,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A8,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A8,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A8,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A9,atrazine,1x,1,0,0,0.9999999999,0.9999999999
2,A9,atrazine,1x,2,4,1.307,0.8832116790,0.3048796700
2,A9,atrazine,1x,3,16,1.308,0.5328467150,0.3043478260
2,A9,atrazine,1x,4,1,0.316,0.9708029200,0.8319372420
2,A9,metribuzin,1x,1,11,1.632,0.6788321170,0.1320303150
2,A9,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A9,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A9,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A11,atrazine,1x,1,3,0.1,0.7500000000,0.9335327350
2,A11,atrazine,1x,2,5,0.465,0.5833333330,0.6909272180
2,A11,atrazine,1x,3,0,0,0.9999999999,0.9999999999
2,A11,atrazine,1x,4,4,0.534,0.6666666670,0.6450648060
2,A11,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A11,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A11,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A11,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A17,atrazine,1x,1,40,1.991,0.0000000001,0.0000000001
