id,trt,pop,herb,dose,rate,rep,ve_21dat,ve_28dat,count_28dat,biomass,countred,biored
83,14,A90,S+1637,0.5x,1070,5,0.99,0.99,0,0,0.99,0.99
84,14,A90,S+1637,0.5x,1070,6,0.99,0.99,0,0,0.99,0.99
85,15,A90,S+1638,0.5x,1070,1,0.99,0.99,0,0,0.99,0.99
86,15,A90,S+1638,0.5x,1070,2,0.99,0.99,0,0,0.99,0.99
87,15,A90,S+1638,0.5x,1070,3,0.99,0.99,0,0,0.99,0.99
88,15,A90,S+1638,0.5x,1070,4,0.99,0.99,0,0,0.99,0.99
89,15,A90,S+1638,0.5x,1070,5,0.99,0.99,0,0,0.99,0.99
90,15,A90,S+1638,0.5x,1070,6,0.99,0.99,0,0,0.99,0.99
91,16,A90,S+1646,0.5x,1070,1,0.99,0.99,0,0,0.99,0.99
92,16,A90,S+1646,0.5x,1070,2,0.99,0.99,0,0,0.99,0.99
93,16,A90,S+1646,0.5x,1070,3,0.99,0.99,0,0,0.99,0.99
94,16,A90,S+1646,0.5x,1070,4,0.99,0.99,0,0,0.99,0.99
95,16,A90,S+1646,0.5x,1070,5,0.99,0.99,0,0,0.99,0.99
96,16,A90,S+1646,0.5x,1070,6,0.99,0.99,0,0,0.99,0.99
97,17,A90,S+1647,0.5x,1070,1,0.99,0.99,0,0,0.99,0.99
98,17,A90,S+1647,0.5x,1070,2,0.99,0.99,0,0,0.99,0.99
99,17,A90,S+1647,0.5x,1070,3,0.99,0.99,0,0,0.99,0.99
100,17,A90,S+1647,0.5x,1070,4,0.95,0.95,1,0.009,0.940594059,0.995114449
101,17,A90,S+1647,0.5x,1070,5,0.99,0.99,0,0,0.99,0.99
102,17,A90,S+1647,0.5x,1070,6,0.9,0.85,1,0.206,0.940594059,0.888175156
