run,pop,herb,rate,rep,ve,biomass,ve_red,bio_red
1,A24,glyphosate,1x,8,8,1.1859,0.2000000000,0.6176612830
1,A25,glyphosate,1x,1,1,0,0.9000000000,0.9999999999
1,A25,glyphosate,1x,2,9,3.7417,0.1000000000,0.0000000001
1,A25,glyphosate,1x,3,9,1.7123,0.1000000000,0.4714103800
1,A25,glyphosate,1x,4,8,0.9662,0.2000000000,0.7017325870
1,A25,glyphosate,1x,5,8,1.1496,0.2000000000,0.6451167280
1,A25,glyphosate,1x,6,2,0.122,0.8000000000,0.9623384140
1,A25,glyphosate,1x,7,9,3.5161,0.1000000000,0.0000000001
1,A25,glyphosate,1x,8,9,1.7612,0.1000000000,0.4563148760
1,A26,glyphosate,1x,1,6,0.5242,0.4000000000,0.8016872850
1,A26,glyphosate,1x,2,9,3.0989,0.1000000000,0.0000000001
1,A26,glyphosate,1x,3,8,2.7762,0.2000000000,0.0000000001
1,A26,glyphosate,1x,4,1,0,0.9000000000,0.9999999999
1,A26,glyphosate,1x,5,2,0.0739,0.8000000000,0.9720425230
1,A26,glyphosate,1x,6,9,2.3004,0.1000000000,0.1297242080
1,A26,glyphosate,1x,7,9,2.4445,0.1000000000,0.0752090190
1,A26,glyphosate,1x,8,9,3.9582,0.1000000000,0.0000000001
1,A27,glyphosate,1x,1,8,2.1224,0.2000000000,0.2359421130
1,A27,glyphosate,1x,2,8,2.1397,0.2000000000,0.2297141620
1,A27,glyphosate,1x,3,9,1.5962,0.1000000000,0.4253725970
1,A27,glyphosate,1x,4,9,2.3448,0.1000000000,0.1558787530
1,A27,glyphosate,1x,5,7,0.7515,0.3000000000,0.7294621640
1,A27,glyphosate,1x,6,9,2.6383,0.1000000000,0.0502195980
1,A27,glyphosate,1x,7,9,2.4775,0.1000000000,0.1081071350
1,A27,glyphosate,1x,8,9,2.9458,0.1000000000,0.0000000001
1,A28,glyphosate,1x,1,8,2.3885,0.2000000000,0.1775987330
1,A28,glyphosate,1x,2,6,0.2736,0.4000000000,0.9057948560
1,A28,glyphosate,1x,3,7,2.0967,0.3000000000,0.2780704470
1,A28,glyphosate,1x,4,9,3.4626,0.1000000000,0.0000000001
1,A28,glyphosate,1x,5,9,2.5151,0.1000000000,0.1340081950
1,A28,glyphosate,1x,6,9,3.4808,0.1000000000,0.0000000001
1,A28,glyphosate,1x,7,9,3.5293,0.1000000000,0.0000000001
1,A28,glyphosate,1x,8,9,3.0811,0.1000000000,0.0000000001
1,A29,glyphosate,1x,1,1,0,0.9000000000,0.9999999999
1,A29,glyphosate,1x,2,1,0,0.9000000000,0.9999999999
1,A29,glyphosate,1x,3,1,0,0.9000000000,0.9999999999
1,A29,glyphosate,1x,4,1,0,0.9000000000,0.9999999999
